text,label
마우스 오래 쓰면 손목이 찌릿하고 시큰거려요,손목
키보드 치면 손목 안쪽이 아파요,손목
손목을 꺾으면 통증이 있어요,손목
손목을 돌릴 때 뻣뻣하고 아픕니다,손목
스마트폰 오래 보면 손목이 저려요,손목
푸쉬업 하면 손목이 아파요,손목
가방 메면 어깨가 뭉치고 결려요,어깨
어깨가 뻐근하고 팔을 올리기 힘들어요,어깨
어깨가 뭉쳐서 두통이 같이 와요,어깨
승모근이 뻣뻣하고 통증이 있어요,어깨
어깨를 돌리면 걸리는 느낌이 나요,어깨
상체 운동 후 어깨 앞쪽이 아파요,어깨
오래 앉아 있으면 허리가 뻐근해요,허리
허리를 숙이면 통증이 심해요,허리
허리 아래쪽이 묵직하고 당겨요,허리
무거운 것 들고 나면 허리가 아파요,허리
허리 통증 때문에 오래 서기 힘들어요,허리
앉았다 일어나면 허리가 찌릿해요,허리
거북목 때문에 목이 뻐근하고 뒷목이 아파요,목
목을 돌리면 뻣뻣하고 통증이 있어요,목
잠을 잘못 자서 목이 돌아가지 않아요,목
목 뒤가 뻐근하고 어지러울 때가 있어요,목
모니터 오래 보면 목이 결려요,목
스트레스 받으면 목과 어깨가 뻣뻣해요,목
계단 내려갈 때 무릎이 아파요,무릎
무릎을 굽히면 통증이 있어요,무릎
쪼그려 앉으면 무릎이 찌릿해요,무릎
달리기 하면 무릎 앞쪽이 아파요,무릎
무릎이 뻐근하고 붓는 느낌이 있어요,무릎
오래 걸으면 무릎이 쑤셔요,무릎
발목을 접질린 뒤로 불안정해요,발목
발목이 붓고 걸을 때 아파요,발목
계단 오를 때 발목이 아파요,발목
발목 바깥쪽이 찌릿하고 시큰거려요,발목
하이힐 신으면 발목이 아파요,발목
운동 후 발목이 뻐근해요,발목